country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3,ON,36913787.0,hold
brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,BRL,PETR4,PN,31825032.0,buy
brazil,B3 SA Brasil Bolsa Balcao,B3 SA Brasil Bolsa Balcao,BRB3SAACNOR6,BRL,B3SA3,ON,30737595.0,buy
brazil,Cogna Educacao,Cogna Educacao,BRCOGNACNOR2,BRL,COGN3,ON,30172607.0,buy
brazil,Azul SA Pref,Azul SA Pref,BRAZULACNPR4,BRL,AZUL4,PN,29876501.0,none
brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3,ON,29492712.0,hold
brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,BRL,BBDC4,PN,28491185.0,none
brazil,MAGAZ LUIZA ON,Magazine Luiza SA,BRMGLUACNOR2,BRL,MGLU3,ON,22658042.0,hold
brazil,ITAUSA PN,Itausa - Investimentos Itau SA,BRITSAACNPR7,BRL,ITSA4,PN,22584512.0,strong_buy
brazil,VALE ON,Vale SA,BRVALEACNOR0,BRL,VALE3,ON,22104385.0,buy
brazil,COSAN ON,Cosan SA Industria e Comercio,BRCSANACNOR6,BRL,CSAN3,ON,21228764.0,buy
brazil,ITAUUNIBANCOPN EB N1,Itau Unibanco Banco Holding SA,BRITUBACNPR1,BRL,ITUB4,PN,21112631.0,strong_buy
brazil,USIMINAS PNA,Usinas Siderurgicas de Minas Gerais,BRUSIMACNPA6,BRL,USIM5,PNA,15096039.0,hold
brazil,Grupo Vamos,Grupo Vamos SA,BRVAMOACNOR7,BRL,VAMO3,ON,13783696.0,buy
brazil,MINERVA ON,Minerva SA/Brazil,BRBEEFACNOR6,BRL,BEEF3,ON,13666801.0,buy
brazil,LOJAS RENNER ON,Lojas Renner SA,BRLRENACNOR1,BRL,LREN3,ON,13173051.0,buy
brazil,BRF SA ON,BRF SA,BRBRFSACNOR8,BRL,BRFS3,ON,11821825.0,buy
brazil,RAIADROGASIL ON,Raia Drogasil SA,BRRADLACNOR0,BRL,RADL3,ON,11815076.0,buy
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3,ON,11644509.0,buy
brazil,COPEL PNB,Cia Paranaense de Energia,BRCPLEACNPB9,BRL,CPLE6,PNB,11366996.0,strong_buy
brazil,CVC BRASIL ON NM,Cvc Brasil ON,BRCVCBACNOR1,BRL,CVCB3,ON,10669562.0,none
brazil,CEMIG PN,CEMIG - Companhia Energetica Minas Gerais Pref,BRCMIGACNPR3,BRL,CMIG4,PN,10512545.0,none
brazil,MRV ON,MRV Engenharia e Participacoes SA,BRMRVEACNOR2,BRL,MRVE3,ON,10084153.0,buy
brazil,PETROBRAS ON,Petroleo Brasileiro SA,BRPETRACNOR9,BRL,PETR3,ON,9897698.0,buy
brazil,WEG ON,WEG SA,BRWEGEACNOR0,BRL,WEGE3,ON,9457064.0,hold
brazil,GERDAU PN N1,Gerdau SA Pref,BRGGBRACNPR8,BRL,GGBR4,PN,9042382.0,buy
brazil,NATURA ON,Natura Cosmeticos SA,BRNATUACNOR6,BRL,NATU3,ON,8784742.0,buy
brazil,SID NACIONAL ON,Cia Siderurgica Nacional SA,BRCSNAACNOR6,BRL,CSNA3,ON,8592970.0,underperform
brazil,MARCOPOLO PN,Marcopolo SA,BRPOMOACNPR7,BRL,POMO4,PN,8517228.0,strong_buy
